NAICS_Sector_Code,NAICS_Sector_Industry,NAICS_Sector,Annual_Establishments,Annual_Average_Employment,Total_Annual_Wages,Annual_Average_Weekly_Wage,Annual_Wages_per_Employee,Annual_Average_Employment_Location_Quotient,Total_Annual_Wages_Location_Quotient
NAICS 22,Utilities,NAICS 22 Utilities,4,139,"11,382,476","1,574","81,839",6.06,6.78
NAICS 23,Construction,NAICS 23 Construction,54,264,"10,369,579",757,"39,341",0.88,0.83
NAICS 31-33,Manufacturing,NAICS 31-33 Manufacturing,31,856,"54,433,730","1,223","63,616",1.63,2.27
NAICS 42,Wholesale trade,NAICS 42 Wholesale trade,34,254,"10,913,169",827,"43,022",1.04,0.86
NAICS 44-45,Retail trade,NAICS 44-45 Retail trade,87,866,"21,639,825",480,"24,986",1.32,1.53
NAICS 48-49,Transportation and warehousing,NAICS 48-49 Transportation and warehousing,19,47,"2,277,938",932,"48,467",0.22,0.30
NAICS 51,Information,NAICS 51 Information,10,29,"1,185,426",791,"41,113",0.25,0.13
NAICS 52,Finance and insurance,NAICS 52 Finance and insurance,43,189,"8,660,984",884,"45,947",0.76,0.48
NAICS 53,Real estate and rental and leasing,NAICS 53 Real estate and rental and leasing,14,40,"1,056,179",509,"26,460",0.43,0.29
NAICS 56,Administrative and waste services,NAICS 56 Administrative and waste services,29,214,"4,929,634",444,"23,081",0.56,0.47
NAICS 61,Educational services,NAICS 61 Educational services,6,14,"580,861",817,"42,502",0.12,0.14
NAICS 62,Health care and social assistance,NAICS 62 Health care and social assistance,72,830,"24,553,471",569,"29,568",1.01,0.89
NAICS 71,"Arts, entertainment, and recreation","NAICS 71 Arts, entertainment, and recreation",7,27,"626,922",442,"23,006",0.28,0.25
NAICS 72,Accommodation and food services,NAICS 72 Accommodation and food services,30,498,"7,038,919",272,"14,146",0.87,0.85
NAICS 81,"Other services, except public administration","NAICS 81 Other services, except public administration",30,96,"2,627,837",525,"27,326",0.51,0.55
